policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text
P1001,District Primary Education Reform 4,Higher Education,Uttar Pradesh,2018,Teachers,Proposed,3.16,"Ministry of Education, Local NGOs",0.127,A nationwide/state-level initiative to strengthen infrastructure through teacher training programs. Targets Teachers and aims to improve retention.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen infrastructure through teacher training programs. Targets Teachers and aims to improve retention. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Focus on equity."
P1002,National Vocational Education Reform 44,Higher Education,Tamil Nadu,2018,All,Under Review,0.92,"Ministry of Education, Local NGOs",0.419,"Policy to enhance teacher quality and community participation using scholarship schemes. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance teacher quality and community participation using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Stakeholder consultations planned."
P1003,National Primary Education Reform 6,Secondary,Delhi,2016,All,Implemented,2.21,"Central Government, Donors",0.666,"Policy to enhance teacher quality and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance teacher quality and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Includes evaluation."
P1004,State Vocational Education Reform 35,Early Childhood,Uttar Pradesh,2025,Rural Students,Proposed,17.33,"Teachers' Unions, Community Leaders",0.457,A nationwide/state-level initiative to strengthen learning outcomes through teacher training programs. Targets Rural Students and aims to improve retention.,Increase learning outcomes score by 30% within 4 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen learning outcomes through teacher training programs. Targets Rural Students and aims to improve retention. Goals: Increase learning outcomes score by 30% within 4 years and reduce disparities between rural and urban areas. Includes evaluation. Stakeholder consultations planned.
P1005,District Higher Education Education Reform 96,Early Childhood,West Bengal,2024,Urban Students,Under Review,19.96,"State Education Department, Private Partners",0.553,"Policy to enhance learning outcomes and governance using grants to schools. Includes capacity-building, monitoring and community engagement.","Train 1360 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","Policy to enhance learning outcomes and governance using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Train 1360 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Budget allocations defined."
P1006,District Primary Education Reform 88,Primary,Rajasthan,2019,All,Under Review,1.82,"State Education Department, Private Partners",0.504,This policy aims to improve vocational skills in Primary by providing public-private partnerships across Rajasthan. It focuses on rural accessibility.,"Train 4208 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve vocational skills in Primary by providing public-private partnerships across Rajasthan. It focuses on rural accessibility. Goals: Train 4208 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Stakeholder consultations planned."
P1007,District Primary Education Reform 77,Higher Education,Gujarat,2015,Students,Under Review,39.16,"State Education Department, Private Partners",0.881,A nationwide/state-level initiative to strengthen learning outcomes through grants to schools. Targets Students and aims to improve retention.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen learning outcomes through grants to schools. Targets Students and aims to improve retention. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Timeline set."
P1008,National Early Childhood Education Reform 97,Secondary,Delhi,2021,Disadvantaged Groups,Under Review,0.46,"Central Government, Donors",0.208,"Policy to enhance infrastructure and community participation using grants to schools. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance infrastructure and community participation using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Includes evaluation."
P1009,National Primary Education Reform 43,Primary,Rajasthan,2018,Rural Students,Pilot,13.09,"EdTech Companies, Universities",0.613,A nationwide/state-level initiative to strengthen infrastructure through curriculum reform. Targets Rural Students and aims to boost employability.,"Train 822 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen infrastructure through curriculum reform. Targets Rural Students and aims to boost employability. Goals: Train 822 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Focus on equity. Focus on equity."
P1010,National Vocational Education Reform 94,Higher Education,Maharashtra,2018,Teachers,Implemented,0.16,"State Education Department, Private Partners",0.348,A nationwide/state-level initiative to strengthen infrastructure through grants to schools. Targets Teachers and aims to improve retention.,"Train 464 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen infrastructure through grants to schools. Targets Teachers and aims to improve retention. Goals: Train 464 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Timeline set. Includes evaluation."
